Nome,Desenvolvedor,Distribuidora,Indie,Quantidade de Review,Review Médio,Plataforma,Singleplayer,Multiplayer,Data de Lançamento,Linguagens Interface,Linguagens Dublagem,Linguagens Legenda,Processador,Memória Ram,Placa de Vídeo,Espaço em Disco,Preço
Macrotis: A Mother's Journey,Proud Dinosaurs ,Orsam Information Technologies ,Sim,93,Very Positive,2,Sim,Não,8 Feb 2019,10,1,10,outros,8,NVIDIA-GEFORCE-GTX-950,6,"19,99"
Ground Control Anthology,Massive Entertainment ,Rebellion ,Não,96,Very Positive,1,Não,Não,31 May 2000,1,1,1,,,,,"10,49"
President Yukino,Acerola ,Kagura Games ,Sim,426,Mostly Positive,1,Não,Não,11 Oct 2018,3,1,3,outros,4,NVIDIA-358,2,"28,99"
LOOM™,LucasArts ,"LucasArts, Lucasfilm, Disney ",Não,377,Very Positive,2,Sim,Não,1 Jan 1990,1,1,1,outros,1,,,"12,39"
StrikeForce Kitty,Deqaf Studio ,Deqaf Studio ,Sim,163,Very Positive,2,Sim,Não,20 Feb 2018,13,0,13,outros,2,outros,1.0,"16,59"
Skirmish Line,The Snarktopus ,The Snarktopus ,Sim,264,Very Positive,3,Sim,Não,21 Mar 2019,8,1,0,,,,,"20,69"
CROSS†CHANNEL: Steam Edition,MoeNovel ,MoeNovel ,Não,143,Very Positive,1,Sim,Não,27 Mar 2018,1,1,1,,,,,"20,69"
8-Bit Invaders!,Petroglyph ,Petroglyph ,Sim,303,Very Positive,1,Sim,Sim,16 Dec 2016,14,1,14,outros,6,GEFORCE-550-TI,2,"27,99"
Raptor: Call of The Shadows - 2015 Edition,Dotemu ,Dotemu ,Não,276,Very Positive,1,Sim,Não,1 Apr 1994,1,1,1,,,,,"10,49"
fault - milestone one,ALICE IN DISSONANCE ,ALICE IN DISSONANCE ,Não,2154,Very Positive,3,Sim,Não,9 Aug 2013,10,0,10,,,,,"27,99"
Coffin of Ashes,"Ladomu, Angels Blue Digital Entertainment, DigitalEZ ",DigitalEZ ,Sim,481,Very Positive,1,Não,Não,8 Dec 2016,6,0,6,,,NVIDIA-358,,"13,99"
Choice Chamber,Studio Bean ,Studio Bean ,Sim,102,Very Positive,1,Não,Sim,16 Jul 2015,1,1,1,,,,,"19,99"
Operation Babel: New Tokyo Legacy,"MAGES. Inc., 5pb., Experience Inc. ","NIS America, Inc. ",Não,45,Mostly Positive,1,Não,Não,16 May 2017,2,1,2,outros,4,GEFORCE-GTX-650-TI,6,"37,99"
"7,62 High Calibre",Apeiron ,1C Entertainment ,Não,249,Very Positive,1,Sim,Não,24 Aug 2007,4,0,4,outros,1,GEFORCE-6600,5,"10,49"
Camp Sunshine,Fossil Games ,Fossil Games ,Sim,190,Very Positive,2,Não,Não,28 Oct 2016,1,0,1,,,,,"14,49"
Otaku's Fantasy,Dieselmine ,Paradise Project ,Sim,2595,Very Positive,1,Não,Não,11 Oct 2017,1,1,2,,,,,"4,29"
Tropical Liquor,Tentacle Games ,Sekai Project ,Sim,611,Very Positive,1,Não,Não,9 Mar 2018,3,1,3,,,,,"20,69"
Sakura Angels,Winged Cloud ,Winged Cloud ,Sim,1540,Very Positive,3,Sim,Não,16 Jan 2015,2,1,2,,,,,"19,99"
Graviteam Tactics: Operation Star,Graviteam ,Graviteam ,Não,379,Very Positive,1,Sim,Não,22 Mar 2012,1,0,0,,,,,"55,99"
Murderous Pursuits,Blazing Griffin ,Blazing Griffin ,Sim,299,Mixed,1,Não,Sim,26 Apr 2018,10,1,0,outros,4,outros,11,"20,69"
Espire 1: VR Operative,Digital Lode ,Tripwire Interactive ,Não,258,Mixed,1,Sim,Não,22 Nov 2019,6,1,0,outros,16,NVIDIA-GTX-1080,21,"55,99"
Operation Babel: New Tokyo Legacy,"MAGES. Inc., 5pb., Experience Inc. ","NIS America, Inc. ",Não,45,Mostly Positive,1,Não,Não,16 May 2017,2,1,2,outros,4,GEFORCE-GTX-650-TI,6,"37,99"
